Item,Category,Type,Price,Date
Stree,G,STRSTR,2.95,11/19/2013
Dunkin Donuts,F,STRSTR,2.17,11/19/2013
Subway,F,STRSTR,6.55,11/19/2013
Cravings,F,STRSTR,9.83,11/19/2013
Antonios Pizza N,F,STRSTR,2.15,11/18/2013
Stree,G,STRSTR,3.87,11/18/2013
Espresso Royale,F,STRSTR,2.19,11/18/2013
Dunkin Donuts,F,STRSTR,2.93,11/18/2013
Legend,F,STRSTR,2.50,11/18/2013
Check 1147,S,STRSTR,7.00,11/14/2013
Stree,G,STRSTR,2.82,11/14/2013
Stree,G,STRSTR,13.41,11/13/2013
Espresso Royale,F,STRSTR,2.19,11/13/2013
Stree,G,STRSTR,3.47,11/12/2013
Sq Latte Da,F,STRSTR,2.13,11/12/2013
Legend,F,STRSTR,2.00,11/11/2013
Stree,G,STRSTR,6.92,11/11/2013
Outback,F,STRSTR,20.00,11/11/2013
Espresso Royale,F,STRSTR,2.19,11/11/2013
Sq Sudden Impact,T,ONLONL,30.00,11/11/2013
Stree,G,STRSTR,8.69,11/11/2013
Cracked Truck,F,STRSTR,6.00,11/8/2013
Aroma Cafe,F,STRSTR,3.06,11/8/2013
Cravings,F,STRSTR,11.96,11/8/2013
Espresso Royale,F,STRSTR,2.40,11/8/2013
Bevande,F,STRSTR,1.80,11/7/2013
Espresso Royale,F,STRSTR,1.86,11/6/2013
Check 1145,S,ONLSTR,451.00,11/5/2013
Antonios Pizza N,F,STRSTR,2.15,11/5/2013
Stree,G,STRSTR,18.72,11/5/2013
Cravings,F,STRSTR,5.98,11/4/2013
Legend,F,STRSTR,1.50,11/4/2013
Zas Italian Cafe,F,STRSTR,7.65,11/4/2013
Brothers,F,STRSTR,27.22,11/1/2013
Papa D Bar,F,STRSTR,3.60,11/1/2013
