Date,Month,Username,Item,Price,Category,Shoppingtype
3/10/2014,Mar-14,Rimi,COUNTY MARKET,2.34,G,STRSTR
3/10/2014,Mar-14,Rimi,FOREVER 21,16.13,C,STRSTR
3/9/2014,Mar-14,Rimi,COUNTY MARKET,5.44,G,STRSTR
3/9/2014,Mar-14,Rimi,COUNTY MARKET,29.16,G,STRSTR
3/8/2014,Mar-14,Rimi,THE CLYBOURNE,6.00,F,STRSTR
3/8/2014,Mar-14,Rimi,CHIPTOTLE,6.84,F,STRSTR
3/6/2014,Mar-14,Rimi,SUSHI ROCK,33.60,F,STRSTR
3/6/2014,Mar-14,Rimi,WALMART,16.08,G,STRSTR
3/5/2014,Mar-14,Rimi,EL TORO BRAVO,34.00,F,STRSTR
3/3/2014,Mar-14,Rimi,WALGREENS,1.73,G,STRSTR
3/2/2014,Mar-14,Rimi,KFC,4.83,F,STRSTR
3/1/2014,Mar-14,Rimi,TORTILLARIA,17.00,F,STRSTR
2/27/2014,Feb-14,Rimi,COUNTY MARKET,2.34,G,STRSTR
2/25/2014,Feb-14,Rimi,CHIPOTLE 0771,6.84,F,STRSTR
2/25/2014,Feb-14,Rimi,COUNTY MARKET,4.70,G,STRSTR
2/24/2014,Feb-14,Rimi,AMBAR INDIA CHAMPAIGN IL,10.80,F,ONLSTR
2/23/2014,Feb-14,Rimi,TGI FRIDAYS,16.50,F,STRSTR
2/23/2014,Feb-14,Rimi,PANERA BREAD,13.22,F,STRSTR
2/23/2014,Feb-14,Rimi,JOE'S BREWERY,9.74,F,STRSTR
2/22/2014,Feb-14,Rimi,RAGSTOCK,13.04,C,STRSTR
2/21/2014,Feb-14,Rimi,BANGKOK THAI,6.65,F,STRSTR
2/18/2014,Feb-14,Rimi,COLDSTONE,6.85,F,ONLSTR
2/17/2014,Feb-14,Rimi,PANDA EXPRESS,7.22,F,STRSTR
2/17/2014,Feb-14,Rimi,LEGENDS ,8.00,F,STRSTR
2/16/2014,Feb-14,Rimi,PIZZA HUT,16.54,F,ONLONL
2/14/2014,Feb-14,Rimi,WALGREENS,1.53,G,STRSTR
2/14/2014,Feb-14,Rimi,BANGKOK THAI,5.55,F,STRSTR
2/13/2014,Feb-14,Rimi,HOBBY LOBBY,29.88,G,STRSTR
2/13/2014,Feb-14,Rimi,DEN,37.04,F,STRSTR
2/13/2014,Feb-14,Rimi,DEN,37.29,F,STRSTR
2/13/2014,Feb-14,Rimi,TACO BELL #16248,4.69,F,STRSTR
2/12/2014,Feb-14,Rimi,TORTICAS GRILL,18.00,F,STRSTR
2/12/2014,Feb-14,Rimi,PENN STATION,8.85,F,STRSTR
2/11/2014,Feb-14,Rimi,COUNTY MARKET ,2.34,G,STRSTR
2/10/2014,Feb-14,Rimi,EASTSTREET.COM,13.38,F,ONLONL
2/10/2014,Feb-14,Rimi,COUNTY MARKET,3.01,G,STRSTR
2/9/2014,Feb-14,Rimi,BANGKOK THAI,8.75,F,STRSTR
2/9/2014,Feb-14,Rimi,COUNTYMARKET,1.41,G,STRSTR
2/9/2014,Feb-14,Rimi,BANGKOK THAI,8.75,F,STRSTR
2/8/2014,Feb-14,Rimi,ANTONIOS PIZZA,5.35,F,STRSTR
2/6/2014,Feb-14,Rimi,WALGREENS,13.59,G,STRSTR
2/6/2014,Feb-14,Rimi,MURPHY'S PUB,11.00,F,STRSTR
2/5/2014,Feb-14,Rimi,LEGENDS,23.00,F,STRSTR
2/4/2014,Feb-14,Rimi,COUNTY MARKET,28.75,G,STRSTR
2/2/2014,Feb-14,Rimi,COUNTY MARKET,8.84,G,STRSTR
2/2/2014,Feb-14,Rimi,APRICOT LANE CHAMPAIGN,23.38,C,STRSTR
2/1/2014,Feb-14,Rimi,COUNTY MARKET,12.52,G,STRSTR
2/1/2014,Feb-14,Rimi,SEVEN SAINTS,4.50,F,STRSTR
2/1/2014,Feb-14,Rimi,COUNTY MARKET,3.26,G,STRSTR
2/1/2014,Feb-14,Rimi,COUNTY MARKET,6.86,G,STRSTR
2/1/2014,Feb-14,Rimi,DESTIHL,22.49,F,STRSTR
1/31/2014,Jan-14,Rimi,COUNTY MARKET ,0.96,G,STRSTR
1/31/2014,Jan-14,Rimi,COUNTY MARKET,46.93,G,STRSTR
1/28/2014,Jan-14,Rimi,COUNTY MARKET,55.43,G,STRSTR
1/24/2014,Jan-14,Rimi,BANGKOK THAI,5.55,F,STRSTR
1/24/2014,Jan-14,Rimi,SUSHI ROCK,9.37,F,STRSTR
1/20/2014,Jan-14,Rimi,ULTA,36.00,G,ONLSTR
1/20/2014,Jan-14,Rimi,COUNTY MARKET,13.06,G,STRSTR
1/20/2014,Jan-14,Rimi,TACO BELL #16248,8.03,F,STRSTR
1/18/2014,Jan-14,Rimi,FOREVER 21,28.44,C,STRSTR
1/18/2014,Jan-14,Rimi,EXPRESS,8.70,C,STRSTR
11/2/2013,Nov-13,Shruthi,JIYA BEAUTY SALON CHAMPAIGN,14,S,STRSTR
11/3/2013,Nov-13,Shruthi,COUNTY MARKET 515,6.50,G,STRSTR
11/5/2013,Nov-13,Shruthi,BEVANDE ,2.90,F,STRSTR
11/6/2013,Nov-13,Shruthi,COUNTY MARKET 515,28.91,G,STRSTR
11/7/2013,Nov-13,Shruthi,BEVANDE URBANA,2.90,F,STRSTR
11/13/2013,Nov-13,Shruthi,BEVANDE URBANA,2.90,F,STRSTR
11/15/2013,Nov-13,Shruthi,WAL-MART #3255 ,71.34,G,ONLONL
11/15/2013,Nov-13,Shruthi,MIRCH MASALA GROCERY,23.12,G,STRSTR
11/20/2013,Nov-13,Shruthi,COUNTY MARKET 515,34.36,G,STRSTR
11/26/2013,Nov-13,Shruthi,MIRCH MASALA GROCERY,5.32,G,STRSTR
11/26/2013,Nov-13,Shruthi,COUNTY MARKET 515,20.86,G,STRSTR
11/27/2013,Nov-13,Shruthi,DAIRY QUEEN #11400,28.94,F,STRSTR
11/27/2013,Nov-13,Shruthi,MARATHON PETRO101717,20.10,S,STRSTR
1/3/2014,Jan-14,Shruthi,SUBWAY 0000,4.37,F,STRSTR
12/3/2013,Dec-13,Shruthi,MIRCH MASALA GROCERY CHAMPAIGN US,24.52,G,STRSTR
12/3/2013,Dec-13,Shruthi,COUNTY MARKET 515 CHAMPAIGN US,27.67,F,STRSTR
12/22/2013,Dec-13,Shruthi,WAL-MART #1734 CHAMPAIGN US,26.52,C,ONLSTR
12/24/2013,Dec-13,Shruthi,WAL-MART #1734 CHAMPAIGN US,16.03,C,ONLSTR
12/24/2013,Dec-13,Shruthi,OLD NAVY USA CHAMPAIGN US,31.45,C,STRSTR
12/24/2013,Dec-13,Shruthi,MACYS CHAMPAIGN,15.37,C,ONLONL
12/25/2013,Dec-13,Shruthi,CANTEEN VENDING V,1.25,F,STRSTR
1/11/2014,Jan-14,Shruthi,COMCAST CHICAGO,67.08,S,ONLONL
1/13/2014,Jan-14,Shruthi,SUBWAY 0000,7.21,F,STRSTR
1/13/2014,Jan-14,Shruthi,BEVANDE,3.28,F,STRSTR
1/13/2014,Jan-14,Shruthi,AMEREN ILLINOIS ONLINE PMT,60.10,S,ONLONL
1/16/2014,Jan-14,Shruthi,DAIRY QUEEN #11400,7.72,F,STRSTR
1/16/2014,Jan-14,Shruthi,DAIRY QUEEN #11400,4.25,F,ONLSTR
1/18/2014,Jan-14,Shruthi,COUNTY MARKET 515,4.25,G,STRSTR
1/18/2014,Jan-14,Shruthi,POS 331 STOUGHTON STREE,27.00,S,STRSTR
1/19/2014,Jan-14,Shruthi,MIRCH MASALA GE,25.70,G,ONLSTR
1/19/2014,Jan-14,Shruthi,CASABLANCA K HOUSE,13.63,F,STRSTR
1/21/2014,Jan-14,Shruthi,PIZZA HUT,10.93,F,ONLSTR
1/23/2014,Jan-14,Shruthi,POS MEIJER INC 146 2401 N.,13.17,G,STRSTR
1/24/2014,Jan-14,Shruthi,CHIPOTLE 0771,13.66,F,STRSTR
1/25/2014,Jan-14,Shruthi,BEVANDE,3.28,F,STRSTR
2/2/2014,Feb-14,Shruthi,REYNOLDS TOWING SE,155.00,S,STRSTR
2/4/2014,Feb-14,Shruthi,COCA COLA CHARLEST,1.50,F,STRSTR
2/9/2014,Feb-14,Shruthi,AMEREN ILLINOIS ONLINE PMT,85.05,S,ONLONL
2/16/2014,Feb-14,Shruthi,AMERICAN WATER,52.90,S,ONLSTR
2/21/2014,Feb-14,Shruthi,MYSORE WOODLANDS,43.13,F,STRSTR
2/21/2014,Feb-14,Shruthi,JIMMY JOHN'S- MDSN,6.08,F,STRSTR
2/22/2014,Feb-14,Shruthi,SAVOY 16,5.13,S,ONLSTR
2/22/2014,Feb-14,Shruthi,SAVOY 16,16.00,S,ONLSTR
2/25/2014,Feb-14,Shruthi,CUSTOMIZED GIRL,30.64,C,STRONL
2/28/2014,Feb-14,Shruthi,POS OLD NAVY USA,91.26,C,STRONL
2/28/2014,Feb-14,Shruthi,AMAZON.COM Computer Mouse,10.21,E,ONLONL
3/1/2014,Mar-14,Shruthi,POS WALGREENS 407 E GREEN S,4.34,G,ONLSTR
3/4/2014,Mar-14,Shruthi,SITARA INDIAN REST,31.08,F,STRSTR
3/12/2014,Mar-14,Shruthi,GOOGLE *Voice,10.00,S,ONLONL
3/13/2014,Mar-14,Shruthi,AMEREN ILLINOIS ONLINE PMT,83.84,S,ONLONL
3/6/2014,Mar-14,Shruthi,TACO BELL #16248,6.21,F,STRSTR
3/9/2014,Mar-14,Shruthi,PAPA JOHN'S 00074.,50.32,F,STRONL
3/17/2014,Mar-14,Shruthi,MR. DELIVERY,22.59,F,ONLONL
3/20/2014,Mar-14,Shruthi,JIMMY JOHNS - 9003,13.50,F,ONLONL
3/23/2014,Mar-14,Shruthi,POS TARGET T0943 TARGET T09,77.24,C,ONLSTR
3/23/2014,Mar-14,Shruthi,MACYS CHAMPAIGN,49.50,C,STRSTR
3/24/2014,Mar-14,Shruthi,POS BATH & BODY WORKS,21.75,C,STRSTR
3/27/2014,Mar-14,Shruthi,GOOGLE *Glass,1593.75,E,ONLONL
2/10/2014,Feb-14,Shruthi,FEDEX 797828586392 Post,26.27,S,ONLSTR
2/17/2014,Feb-14,Shruthi,LOOKAFTER 21 Haircut,19.00,S,STRSTR
3/4/2014,Mar-14,Shruthi,POS MCKINLEY HEALTH CENTER,15.00,S,STRONL
3/24/2014,Mar-14,Shruthi,JG TRANSPORTATION,50.00,S,STRSTR
3/31/2014,Mar-14,Shruthi,REDBOX *DVD RENTAL,1.20,E,ONLSTR
4/14/2014,Apr-14,Shruthi,AUTO AIR & VACUUM,1.00,S,STRSTR
4/18/2014,Apr-14,Shruthi,POS 331 STOUGHTON STREE,11.72,G,STRSTR
4/21/2014,Apr-14,Shruthi,POS 331 STOUGHTON STREE,52.13,G,STRSTR
4/17/2014,Apr-14,Shruthi,EINSTEIN BRO BAGELS - U URBANA IL 04/16,1.97,F,STRSTR
4/17/2014,Apr-14,Shruthi,Payment to Chase card ending in 8222 04/17,72.71,C,ONLONL
4/16/2014,Apr-14,Shruthi,AMBAR INDIA CHAMPAIGN IL,19.60,F,STRSTR
4/8/2014,Apr-14,Shruthi,AMAZON.COM482114 Misc. Paym,339.38,E,STRONL
3/19/2014,Mar-14,Shruthi,COUNTY MARKET 5 CHAMPAIGN IL,40.56,G,STRSTR
3/7/2014,Mar-14,Shruthi,USCIS PHOENIX PAYMENT,380.00,S,ONLONL
1/27/2014,Jan-14,Shruthi,JIMMY JOHN'S # 90025 CHAMPAIGN IL 01/23,5.03,F,ONLONL
3/31/2014,Mar-14,Shugo,Starbucks,5.00,F,STRSTR
3/31/2014,Mar-14,Shugo,Meat Heads Burgers,3.33,F,STRSTR
3/31/2014,Mar-14,Shugo,Charter Communications,30.00,S,ONLONL
3/31/2014,Mar-14,Shugo,McDonald's,2.42,F,STRSTR
3/31/2014,Mar-14,Shugo,Metra Union Statio,5.75,S,STRSTR
3/31/2014,Mar-14,Shugo,Visionworks,19.00,E,ONLSTR
3/31/2014,Mar-14,Shugo,Intelligentsia Cof,4.82,F,STRSTR
3/31/2014,Mar-14,Shugo,Visionworks,19.00,E,ONLSTR
3/28/2014,Mar-14,Shugo,Culver Schaum,5.15,F,STRSTR
3/28/2014,Mar-14,Shugo,Starbucks,5.00,F,STRSTR
3/27/2014,Mar-14,Shugo,Check 1041,39.70,S,STRSTR
3/27/2014,Mar-14,Shugo,Cup Vine,4.39,F,STRSTR
3/26/2014,Mar-14,Shugo,Red Mango,3.10,F,STRSTR
3/26/2014,Mar-14,Shugo,Tony Finer Foods,10.82,G,STRSTR
3/25/2014,Mar-14,Shugo,Great Clips,10.00,S,STRSTR
3/24/2014,Mar-14,Shugo,Espresso Royale,3.06,F,STRSTR
3/24/2014,Mar-14,Shugo,Eb Tedxuiuc,15.00,S,ONLONL
3/21/2014,Mar-14,Shugo,Stree,1.62,G,STRSTR
3/20/2014,Mar-14,Shugo,Suburban Express,29.95,S,STRSTR
3/20/2014,Mar-14,Shugo,Espresso Royale,2.46,F,STRSTR
3/20/2014,Mar-14,Shugo,Stree,3.56,G,STRSTR
3/19/2014,Mar-14,Shugo,Basil Thai Urba,17.41,F,STRSTR
3/18/2014,Mar-14,Shugo,Sakanaya,18.85,F,STRSTR
3/17/2014,Mar-14,Shugo,Pavlov Media,29.99,S,ONLONL
3/17/2014,Mar-14,Shugo,Espresso Royale,2.40,F,STRSTR
3/17/2014,Mar-14,Shugo,Legend,6.00,F,STRSTR
3/17/2014,Mar-14,Shugo,Aroma Cafe,3.67,F,STRSTR
3/17/2014,Mar-14,Shugo,Buffalo Wild Wings,13.27,F,STRSTR
3/17/2014,Mar-14,Shugo,Meijer,38.07,G,STRSTR
3/17/2014,Mar-14,Shugo,Dairy Queen,3.15,F,STRSTR
3/14/2014,Mar-14,Shugo,Bevande,1.80,F,STRSTR
3/13/2014,Mar-14,Shugo,Espresso Royale,2.46,F,STRSTR
3/12/2014,Mar-14,Shugo,Bevande,2.08,F,STRSTR
3/11/2014,Mar-14,Shugo,Espresso Royale,3.00,F,STRSTR
3/10/2014,Mar-14,Shugo,Destihl Llc,13.09,F,STRSTR
3/10/2014,Mar-14,Shugo,Radio Maria,23.40,F,STRSTR
3/10/2014,Mar-14,Shugo,Taco Bell,3.37,F,STRSTR
3/7/2014,Mar-14,Shugo,Stree,18.71,G,STRSTR
3/6/2014,Mar-14,Shugo,Zorba Restaurant,7.02,F,STRSTR
3/6/2014,Mar-14,Shugo,Espresso Royale,2.46,F,STRSTR
3/6/2014,Mar-14,Shugo,Stree,24.51,G,STRSTR
3/5/2014,Mar-14,Shugo,University G Resident,460.95,S,STRONL
3/5/2014,Mar-14,Shugo,Starbucks,5.00,F,STRSTR
3/5/2014,Mar-14,Shugo,Panda Express,6.12,F,STRSTR
3/4/2014,Mar-14,Shugo,Panda Express,6.12,F,STRSTR
3/4/2014,Mar-14,Shugo,Cf Sales,13.25,E,STRSTR
3/4/2014,Mar-14,Shugo,Starbucks,5.00,F,STRSTR
3/4/2014,Mar-14,Shugo,Microsoft,10.61,E,ONLONL
3/4/2014,Mar-14,Shugo,Espresso Royale,2.19,F,STRSTR
3/3/2014,Mar-14,Shugo,Stree,4.02,G,STRSTR
3/3/2014,Mar-14,Shugo,Dunkin Donuts,3.49,F,STRSTR
2/28/2014,Feb-14,Shugo,Dunkin Donuts,3.27,F,STRSTR
2/28/2014,Feb-14,Shugo,Starbucks,1.52,F,STRSTR
2/28/2014,Feb-14,Shugo,Niro Gyros,7.10,F,STRSTR
2/28/2014,Feb-14,Shugo,Cravings,8.70,F,STRSTR
2/27/2014,Feb-14,Shugo,Dunkin Donuts,2.16,F,STRSTR
2/26/2014,Feb-14,Shugo,Bevande,2.08,F,STRSTR
2/26/2014,Feb-14,Shugo,Wendy's,3.68,F,STRSTR
2/26/2014,Feb-14,Shugo,Taco Bell,4.47,F,STRSTR
2/25/2014,Feb-14,Shugo,Stree,3.96,G,STRSTR
2/25/2014,Feb-14,Shugo,Jimmy John's,5.03,F,STRSTR
2/24/2014,Feb-14,Shugo,Murphy Pub,9.00,F,STRSTR
2/24/2014,Feb-14,Shugo,Dunkin Donuts,2.17,F,STRSTR
